0  "TRAINING_PS2_02_INST_01.wav" 
En: "Ask nicely, and the miner will open the door for you."
Gr: "(gr)Ask nicely, and the miner will open the door for you."
Fr: "(fr)Ask nicely, and the miner will open the door for you." 

1  "" 
En: "Press Use ($USE$) to interact with people."
Gr: "(gr)Press Use ($USE$) to interact with people."
Fr: "(fr)Press Use ($USE$) to interact with people." 

2  "TRAINING_PS2_02_MIN_01.wav"
En: "Go right on through, Parker."
Gr: "(gr)Go right on through, Parker."
Fr: "(fr)Go right on through, Parker." 

3  "TRAINING_PS2_02_INST_02.wav"
En: "Like the sub? We stole it from Ultor."
Gr: "(gr)Like the sub? We stole it from Ultor."
Fr: "(fr)Like the sub? We stole it from Ultor." 

4  "TRAINING_PS2_02_INST_03.wav" 
En: "Climb in and take it for a ride, in case you have to drive a vehicle after we launch the revolt."
Gr: "(gr)Climb in and take it for a ride, in case you have to drive a vehicle after we launch the revolt."
Fr: "(fr)Climb in and take it for a ride, in case you have to drive a vehicle after we launch the revolt." 

5  "" 
En: "Go over to the sub and press Use ($USE$) to enter."
Gr: "(gr)Go over to the sub and press Use ($USE$) to enter."
Fr: "(frGo over to the sub and press Use ($USE$) to enter." 

6  "TRAINING_PS2_02_INST_04.wav" 
En: "Fire some torpedoes to get a feel for it."
Gr: "(gr)Fire some torpedoes to get a feel for it."
Fr: "(fr)Fire some torpedoes to get a feel for it." 

7  "TRAINING_PS2_02_INST_05.wav" 
En: "Head for the other tunnel when you're ready to continue."
Gr: "(gr)Head for the other tunnel when you're ready to continue."
Fr: "(fr)Head for the other tunnel when you're ready to continue." 

8  "TRAINING_PS2_02_INST_06.wav"
En: "Climb out of the sub and go up the stairs."
Gr: "(gr)Climb out of the sub and go up the stairs."
Fr: "(fr)Climb out of the sub and go up the stairs." 

9  "" 
En: "Press Use ($USE$) to exit the sub."
Gr: "(gr)Press Use ($USE$) to exit the sub."
Fr: "(fr)Press Use ($USE$) to exit the sub." 

10  "TRAINING_PS2_02_INST_07.wav"
En: "Open the gun cabinet and grab the pistol and sniper rifle."
Gr: "(gr)Open the gun cabinet and grab the pistol and sniper rifle."
Fr: "(fr)Open the gun cabinet and grab the pistol and sniper rifle." 

11  "TRAINING_PS2_02_INST_22.wav"
En: "Sometimes it pays to be inconspicuous. Holstering your weapon will help you blend in, since guns make people jumpy."
